datetime,conditions,quarter
2005-04-22,"Rain, Partially cloudy",2
2005-04-23,Partially cloudy,2
2005-04-24,"Rain, Partially cloudy",2
2005-04-25,Partially cloudy,2
2005-04-26,Partially cloudy,2
2005-04-27,Partially cloudy,2
2005-04-28,"Rain, Partially cloudy",2
2005-04-29,Partially cloudy,2
2005-04-30,Partially cloudy,2
2005-05-01,Partially cloudy,2
2005-05-02,Partially cloudy,2
2005-05-03,Partially cloudy,2
2005-05-04,Partially cloudy,2
2005-05-05,"Rain, Overcast",2
2005-05-06,"Rain, Partially cloudy",2
2005-05-07,Partially cloudy,2
2005-05-08,Partially cloudy,2
2005-05-09,"Rain, Partially cloudy",2
2005-05-10,Clear,2
2005-05-11,Clear,2
2005-05-12,Clear,2
2005-05-13,Partially cloudy,2
2005-05-14,Clear,2
2005-05-15,Clear,2
2005-05-16,Partially cloudy,2
2005-05-17,Partially cloudy,2
2005-05-18,Clear,2
2005-05-19,Clear,2
2005-05-20,Clear,2
2005-05-21,Clear,2
2005-05-22,Clear,2
2005-05-23,Partially cloudy,2
2005-05-24,Partially cloudy,2
2005-05-25,Partially cloudy,2
2005-05-26,Partially cloudy,2
2005-05-27,Partially cloudy,2
2005-05-28,Partially cloudy,2
2005-05-29,Partially cloudy,2
2005-05-30,Partially cloudy,2
2005-05-31,Partially cloudy,2
2005-06-01,Partially cloudy,2
2005-06-02,Overcast,2
2005-06-03,Partially cloudy,2
2005-06-04,Partially cloudy,2
2005-06-05,Partially cloudy,2
2005-06-06,Partially cloudy,2
2005-06-07,Clear,2
2005-06-08,Clear,2
2005-06-09,Partially cloudy,2
2005-06-10,Partially cloudy,2
2005-06-11,Partially cloudy,2
2005-06-12,Partially cloudy,2
2005-06-13,Partially cloudy,2
2005-06-14,Partially cloudy,2
2005-06-15,Partially cloudy,2
2005-06-16,Partially cloudy,2
2005-06-17,Partially cloudy,2
2005-06-18,Clear,2
2005-06-19,Clear,2
2005-06-20,Clear,2
2005-06-21,Clear,2
2005-06-22,Clear,2
2005-06-23,Clear,2
2005-06-24,Clear,2
2005-06-25,Clear,2
2005-06-26,Clear,2
2005-06-27,Partially cloudy,2
2005-06-28,Partially cloudy,2
2005-06-29,Clear,2
2005-06-30,Partially cloudy,2
2006-04-01,"Rain, Partially cloudy",2
2006-04-02,Clear,2
2006-04-03,"Rain, Partially cloudy",2
2006-04-04,"Rain, Overcast",2
2006-04-05,"Rain, Partially cloudy",2
2006-04-06,Clear,2
2006-04-07,Clear,2
2006-04-08,Partially cloudy,2
2006-04-09,Partially cloudy,2
2006-04-10,Partially cloudy,2
2006-04-11,"Rain, Partially cloudy",2
2006-04-12,Clear,2
2006-04-13,Clear,2
2006-04-14,"Rain, Partially cloudy",2
2006-04-15,"Rain, Partially cloudy",2
2006-04-16,Partially cloudy,2
2006-04-17,Clear,2
2006-04-18,Clear,2
2006-04-19,Clear,2
2006-04-20,Clear,2
2006-04-21,Partially cloudy,2
2006-04-22,"Rain, Overcast",2
2006-04-23,"Rain, Partially cloudy",2
2006-04-24,Clear,2
2006-04-25,Partially cloudy,2
2006-04-26,"Rain, Partially cloudy",2
2006-04-27,Partially cloudy,2
2006-04-28,Partially cloudy,2
2006-04-29,Partially cloudy,2
2006-04-30,Partially cloudy,2
2006-05-01,Partially cloudy,2
2006-05-02,Overcast,2
2006-05-03,Overcast,2
2006-05-04,Partially cloudy,2
2006-05-05,Partially cloudy,2
2006-05-06,Partially cloudy,2
2006-05-07,Partially cloudy,2
2006-05-08,Partially cloudy,2
2006-05-09,Partially cloudy,2
2006-05-10,Partially cloudy,2
2006-05-11,Overcast,2
2006-05-12,Partially cloudy,2
2006-05-13,Partially cloudy,2
2006-05-14,Partially cloudy,2
2006-05-15,Partially cloudy,2
2006-05-16,Partially cloudy,2
2006-05-17,Partially cloudy,2
2006-05-18,Partially cloudy,2
2006-05-19,Partially cloudy,2
2006-05-20,Partially cloudy,2
2006-05-21,"Rain, Partially cloudy",2
2006-05-22,"Rain, Partially cloudy",2
2006-05-23,Clear,2
2006-05-24,Clear,2
2006-05-25,Clear,2
2006-05-26,Partially cloudy,2
2006-05-27,Partially cloudy,2
2006-05-28,Clear,2
2006-05-29,Clear,2
2006-05-30,Clear,2
2006-05-31,Clear,2
2006-06-01,Partially cloudy,2
2006-06-02,Clear,2
2006-06-03,Clear,2
2006-06-04,Clear,2
2006-06-05,"Rain, Partially cloudy",2
2006-06-06,Partially cloudy,2
2006-06-07,Overcast,2
2006-06-08,"Rain, Overcast",2
2006-06-09,"Rain, Partially cloudy",2
2006-06-10,Partially cloudy,2
2006-06-11,Partially cloudy,2
2006-06-12,Partially cloudy,2
2006-06-13,Clear,2
2006-06-14,Clear,2
2006-06-15,Clear,2
2006-06-16,Clear,2
2006-06-17,Partially cloudy,2
2006-06-18,Partially cloudy,2
2006-06-19,Partially cloudy,2
2006-06-20,Partially cloudy,2
2006-06-21,Partially cloudy,2
2006-06-22,Partially cloudy,2
2006-06-23,Partially cloudy,2
2006-06-24,Partially cloudy,2
2006-06-25,Clear,2
2006-06-26,Rain,2
2006-06-27,Partially cloudy,2
2006-06-28,Clear,2
2006-06-29,Clear,2
2006-06-30,Clear,2
2007-04-01,Partially cloudy,2
2007-04-02,Partially cloudy,2
2007-04-03,Partially cloudy,2
2007-04-04,Partially cloudy,2
